datetime,stage,q,q_sigma
2021-05-18 08:15:45 [UTC-07:00],3.48,48.907,1.242637041
2021-04-12 09:03:51 [UTC-07:00],3.29,25.342,0.669752857
2021-03-03 09:42:10 [UTC-07:00],3.24,20.667,0.478715204
2021-01-20 09:38:35 [UTC-07:00],3.08,9.619,0.360221735
2020-12-07 10:48:50 [UTC-07:00],3.11,11.472,0.285629388
2020-10-09 08:08:04 [UTC-07:00],3.08,9.927,0.265395306
2020-08-20 09:18:45 [UTC-07:00],2.91,2.821,0.092114286
2020-07-16 12:17:07 [UTC-07:00],2.95,3.788,0.115881878
2020-06-02 08:35:25 [UTC-07:00],3.74,93.71,2.419247959
2020-05-05 08:38:57 [UTC-07:00],3.93,151.572,2.242646939
2020-05-05 07:53:17 [UTC-07:00],3.93,149.275,3.19875
2020-04-21 09:59:08 [UTC-07:00],3.53,55.624,1.70277551
2020-03-10 11:17:08 [UTC-07:00],3.33,30.193,0.930437347
2020-02-07 09:36:16 [UTC-07:00],3.29,25.705,0.718690816
2020-01-06 12:30:05 [UTC-07:00],3.26,22.736,1.01848
2019-12-06 12:19:43 [UTC-07:00],3.22,18.956,0.601562857
2019-11-05 12:07:12 [UTC-07:00],3.22,18.911,0.387868469
