q,stage
1.0,4.97
1.415,4.98
2.0,4.99
2.517,5.0
3.165,5.01
3.979,5.02
5.0,5.03
5.747,5.04
6.603,5.05
7.585,5.06
8.71,5.07
10.0,5.08
11.05,5.09
12.2,5.1
13.47,5.11
14.88,5.12
16.42,5.13
18.12,5.14
20.0,5.15
21.06,5.16
22.18,5.17
23.35,5.18
24.58,5.19
25.88,5.2
27.24,5.21
28.67,5.22
30.17,5.23
31.75,5.24
33.4,5.25
35.14,5.26
36.97,5.27
38.89,5.28
40.9,5.29
43.01,5.3
45.23,5.31
47.56,5.32
50.0,5.33
51.79,5.34
53.65,5.35
55.57,5.36
57.55,5.37
59.6,5.38
61.72,5.39
63.91,5.4
66.18,5.41
68.52,5.42
70.94,5.43
73.44,5.44
76.02,5.45
78.69,5.46
81.44,5.47
84.29,5.48
87.23,5.49
90.27,5.5
93.41,5.51
96.65,5.52
100.0,5.53
102.1,5.54
104.3,5.55
106.5,5.56
108.7,5.57
111.0,5.58
113.3,5.59
115.7,5.6
118.1,5.61
120.6,5.62
123.1,5.63
125.6,5.64
128.2,5.65
130.9,5.66
133.6,5.67
136.4,5.68
139.2,5.69
142.0,5.7
144.9,5.71
147.9,5.72
150.9,5.73
154.0,5.74
157.1,5.75
160.3,5.76
163.6,5.77
166.9,5.78
170.3,5.79
173.7,5.8
177.2,5.81
180.8,5.82
184.4,5.83
188.1,5.84
191.9,5.85
195.7,5.86
199.6,5.87
203.6,5.88
207.7,5.89
211.8,5.9
216.0,5.91
220.3,5.92
224.6,5.93
229.0,5.94
233.5,5.95
238.1,5.96
242.8,5.97
247.6,5.98
252.4,5.99
257.3,6.0
262.3,6.01
267.4,6.02
272.6,6.03
277.9,6.04
283.3,6.05
288.8,6.06
294.3,6.07
300.0,6.08
304.0,6.09
308.0,6.1
312.1,6.11
316.2,6.12
320.4,6.13
324.6,6.14
328.8,6.15
333.1,6.16
337.5,6.17
341.9,6.18
346.4,6.19
350.9,6.2
355.5,6.21
360.1,6.22
364.7,6.23
369.5,6.24
374.2,6.25
379.1,6.26
383.9,6.27
388.9,6.28
393.9,6.29
398.9,6.3
404.0,6.31
409.2,6.32
414.4,6.33
419.7,6.34
425.0,6.35
430.4,6.36
435.9,6.37
441.4,6.38
447.0,6.39
452.6,6.4
458.3,6.41
464.1,6.42
469.9,6.43
475.8,6.44
481.7,6.45
487.8,6.46
493.8,6.47
500.0,6.48
504.6,6.49
509.2,6.5
513.8,6.51
518.4,6.52
523.1,6.53
527.9,6.54
532.6,6.55
537.4,6.56
542.3,6.57
547.2,6.58
552.1,6.59
557.0,6.6
562.0,6.61
567.0,6.62
572.1,6.63
577.2,6.64
582.3,6.65
587.5,6.66
592.7,6.67
597.9,6.68
603.2,6.69
608.6,6.7
613.9,6.71
619.3,6.72
624.8,6.73
630.3,6.74
635.8,6.75
641.3,6.76
646.9,6.77
652.6,6.78
658.3,6.79
664.0,6.8
669.8,6.81
675.6,6.82
681.4,6.83
687.3,6.84
693.2,6.85
699.2,6.86
705.2,6.87
711.3,6.88
717.4,6.89
723.6,6.9
729.8,6.91
736.0,6.92
742.3,6.93
748.6,6.94
755.0,6.95
761.4,6.96
767.8,6.97
774.4,6.98
780.9,6.99
787.5,7.0
794.1,7.01
800.8,7.02
807.6,7.03
814.4,7.04
821.2,7.05
828.1,7.06
835.0,7.07
842.0,7.08
849.0,7.09
856.1,7.1
863.2,7.11
870.3,7.12
877.6,7.13
884.8,7.14
892.2,7.15
899.5,7.16
906.9,7.17
914.4,7.18
921.9,7.19
929.5,7.2
937.1,7.21
944.8,7.22
952.5,7.23
960.3,7.24
968.1,7.25
976.0,7.26
984.0,7.27
992.0,7.28
1000.0,7.29
1006.0,7.3
1012.0,7.31
1018.0,7.32
1024.0,7.33
1030.0,7.34
1037.0,7.35
1043.0,7.36
1049.0,7.37
1055.0,7.38
1061.0,7.39
1068.0,7.4
1074.0,7.41
1080.0,7.42
1087.0,7.43
1093.0,7.44
1100.0,7.45
1106.0,7.46
1113.0,7.47
1119.0,7.48
1126.0,7.49
1132.0,7.5
1139.0,7.51
1146.0,7.52
1152.0,7.53
1159.0,7.54
1166.0,7.55
1173.0,7.56
1179.0,7.57
1186.0,7.58
1193.0,7.59
1200.0,7.6
1207.0,7.61
1214.0,7.62
1221.0,7.63
1228.0,7.64
1235.0,7.65
1242.0,7.66
1249.0,7.67
1256.0,7.68
1264.0,7.69
1271.0,7.7
1278.0,7.71
1285.0,7.72
1293.0,7.73
1300.0,7.74
1307.0,7.75
1315.0,7.76
1322.0,7.77
1330.0,7.78
1337.0,7.79
1345.0,7.8
1352.0,7.81
1360.0,7.82
1367.0,7.83
1375.0,7.84
1383.0,7.85
1391.0,7.86
1398.0,7.87
1406.0,7.88
1414.0,7.89
1422.0,7.9
1430.0,7.91
1438.0,7.92
1446.0,7.93
1454.0,7.94
1462.0,7.95
1470.0,7.96
1478.0,7.97
1486.0,7.98
1494.0,7.99
1502.0,8.0
1511.0,8.01
1519.0,8.02
1527.0,8.03
