datetime,stage,q,q_sigma
2000-10-20 10:00:00,2.09,201.37,7.05
2000-10-27 10:00:00,1.48,122.0,4.27
2000-11-07 11:00:00,2.03,185.47,6.49
2000-11-10 11:00:00,2.32,229.15,8.02
2000-11-14 11:00:00,1.61,132.23,4.63
2000-11-17 11:00:00,1.53,128.34,4.49
2000-11-21 11:00:00,1.64,137.38,4.81
2000-12-01 11:00:00,1.63,130.13,4.55
2000-12-08 11:00:00,1.52,125.31,4.39
2001-03-23 11:00:00,4.47,591.12,20.69
2001-10-26 10:00:00,1.75,144.7,5.06
2001-11-09 11:00:00,1.95,160.43,5.62
2001-11-16 11:00:00,2.1,191.53,6.7
2001-11-23 11:00:00,1.51,123.0,4.3
2001-11-30 11:00:00,1.57,125.62,4.4
2001-12-07 11:00:00,1.82,167.33,5.86
2001-12-14 11:00:00,1.81,164.8,5.77
2001-12-21 11:00:00,2.24,207.0,7.24
2002-01-25 11:00:00,1.08,77.18,2.7
2002-02-01 11:00:00,1.09,85.1,2.98
2002-02-22 11:00:00,1.96,174.94,6.12
2002-09-04 10:00:00,1.61,133.0,4.66
2002-10-11 10:00:00,1.68,136.0,4.76
2002-10-18 10:00:00,2.2,201.0,7.04
2002-10-25 10:00:00,2.13,204.0,7.14
2002-11-08 11:00:00,2.4,230.0,8.05
2002-11-15 11:00:00,3.41,388.0,13.58
2002-11-29 11:00:00,2.29,209.0,7.32
2002-12-06 11:00:00,1.78,144.0,5.04
2002-12-13 11:00:00,1.7,135.0,4.72
2002-12-20 11:00:00,1.7,138.0,4.83
2003-01-10 11:00:00,2.64,255.0,8.93
2003-01-17 11:00:00,2.01,178.0,6.23
2003-01-26 11:00:00,2.46,231.0,8.09
2003-01-31 11:00:00,2.45,231.0,8.09
2003-02-07 11:00:00,2.17,200.0,7.0
2003-02-14 11:00:00,2.29,207.0,7.24
2003-02-21 11:00:00,1.89,162.0,5.67
2003-06-18 10:00:00,2.15,198.0,6.93
2003-10-10 10:00:00,1.88,164.0,5.74
2003-10-14 10:00:00,0.98,76.1,2.66
2003-10-17 10:00:00,1.48,114.0,3.99
2003-10-21 10:00:00,2.01,175.0,6.12
2003-10-24 10:00:00,1.75,145.0,5.08
2003-11-04 11:00:00,1.13,79.6,2.79
2003-11-07 11:00:00,1.18,82.1,2.87
2003-11-18 11:00:00,1.24,93.4,3.27
2003-11-25 11:00:00,0.79,53.0,1.86
2003-11-28 11:00:00,1.42,104.0,3.64
2004-04-26 10:00:00,2.26,212.0,7.42
2004-06-16 10:00:00,2.32,223.0,7.8
2004-09-21 10:00:00,0.79,53.0,1.86
2005-10-07 10:00:00,1.54,117.0,4.1
2005-10-14 10:00:00,1.38,104.0,3.64
2005-10-18 10:00:00,1.21,97.0,3.4
2005-10-24 10:00:00,0.96,80.0,2.8
2005-11-08 11:00:00,0.91,65.0,2.28
2005-11-15 11:00:00,0.9,53.0,1.86
2005-11-18 11:00:00,1.5,127.0,4.44
2005-11-24 11:00:00,1.5,116.0,4.06
2005-11-24 11:01:00,0.88,59.0,2.06
2005-12-06 11:00:00,1.15,85.0,2.98
2006-01-01 11:00:00,1.13,79.0,2.76
2006-01-01 11:01:00,1.38,125.0,4.38
2006-01-01 11:02:00,1.47,113.0,3.96
2006-10-06 10:00:00,1.77,152.0,5.32
2006-10-13 10:00:00,1.15,85.0,2.98
2007-06-28 10:00:00,2.44,236.3,8.27
2007-09-06 10:00:00,1.46,115.0,2.88
2008-01-10 11:00:00,1.34,104.0,2.6
2008-04-01 10:00:00,1.64,141.0,3.52
2008-05-30 10:00:00,5.93,784.0,27.44
2008-05-30 10:01:00,5.43,701.32,24.55
2008-07-29 10:00:00,1.84,158.0,5.53
2009-01-15 11:00:00,1.72,156.0,5.46
2009-04-23 10:00:00,2.01,178.0,6.23
2009-08-20 10:00:00,1.47,116.0,2.9
2009-10-02 10:00:00,1.16,80.8,2.02
2009-10-06 10:00:00,1.15,84.8,2.12
2009-10-09 10:00:00,0.91,61.3,1.53
2009-10-19 10:00:00,0.97,72.3,1.81
2009-10-23 10:00:00,1.27,97.6,2.44
2009-11-02 11:00:00,1.08,78.1,1.95
2009-11-06 11:00:00,1.31,98.6,2.46
2009-11-09 11:00:00,1.22,91.1,2.28
2009-11-16 11:00:00,1.28,98.8,2.47
2009-11-19 11:00:00,1.21,89.8,2.24
2009-12-02 11:00:00,0.99,71.3,1.78
2009-12-11 11:00:00,1.22,89.3,2.23
2010-04-20 10:00:00,1.53,125.0,4.38
2010-05-31 10:00:00,6.26,886.0,31.01
2010-06-01 10:00:00,3.9,450.0,15.75
2010-09-23 10:00:00,1.18,84.7,2.12
