datetime,stage,q
1985-09-10 14:04:00,0.633,0.403291
1993-11-02 10:48:00,0.54,0.260665
1994-02-24 11:39:00,0.291,0.064013
1994-03-04 10:15:00,1.286,6.359344
1994-05-17 12:05:00,0.336,0.08006
1994-07-25 12:02:00,2.46,51.726969
1994-08-16 12:02:00,0.755,0.85049
1994-11-10 10:22:00,0.628,0.415537
1994-12-06 12:38:00,0.442,0.179531
1995-02-22 10:30:00,0.342,0.072414
1995-03-13 09:45:00,1.033,4.223044
1995-03-30 11:50:00,1.187,7.135
1995-04-12 13:47:00,0.87,1.9314
1995-05-16 11:32:00,0.619,0.421771
1995-05-29 10:59:00,0.961,2.346061
1996-06-23 16:35:00,2.501,40.552
1997-06-02 15:52:00,1.571,18.756
2000-03-30 14:43:00,0.35,0.097876
2000-07-26 11:32:00,0.79,1.053864
2001-03-27 12:36:00,0.402,0.166182
2003-07-31 15:25:00,2.047,36.316537
2003-07-31 16:25:00,2.415,57.344152
2003-07-31 18:07:00,2.573,68.693011
2005-12-08 07:20:00,0.498,0.264947
2006-01-07 14:10:00,0.482,0.232758
2008-05-14 12:01:00,0.699,0.724252
2008-05-27 12:35:00,0.869,1.629972
2008-06-03 13:16:00,0.675,0.581115
2009-02-17 12:01:00,0.397,0.121723
2009-02-26 11:18:00,0.441,0.16879
2009-08-11 10:20:00,0.645,0.477668
2009-08-18 12:33:00,0.8,1.145451
2009-09-30 10:19:00,0.955,2.725079
2009-12-22 12:50:00,0.475,0.20465
2010-01-26 08:35:00,0.36,0.101191
2010-02-09 12:00:00,0.348,0.100983
2010-02-25 12:53:00,0.324,0.093449
2010-04-08 11:42:00,0.281,0.059592
2010-04-21 11:59:00,0.251,0.044862
2010-07-15 13:42:00,0.674,0.578472
2010-07-29 10:59:00,0.796,1.103517
2010-08-24 10:49:00,0.806,1.145621
2010-09-16 14:18:00,1.239,7.466167
2010-09-27 12:36:00,0.753,0.843407
2010-12-08 13:33:00,0.383,0.116527
2011-01-23 12:30:00,1.892,32.742
2011-01-23 13:44:00,1.751,27.82
2011-01-23 14:58:00,1.606,21.265
2011-01-28 12:49:00,0.668,0.546464
2011-03-22 11:41:00,1.192,6.124644
2011-08-24 12:35:00,0.637,0.488652
2011-10-04 09:54:00,0.83,1.273921
2011-12-19 11:26:00,0.785,1.08215
2012-01-13 09:11:00,0.78,0.958121
2012-02-20 12:23:00,0.418,0.138448
2012-11-19 08:58:00,0.493,0.22829
2012-11-21 12:52:00,0.446,0.177576
2012-11-26 08:56:00,0.409,0.142405
2012-11-30 08:20:00,0.601,0.393782
2012-12-10 12:08:00,0.409,0.150319
2012-12-12 10:52:00,0.396,0.140803
2012-12-17 09:32:00,0.363,0.105587
2013-01-07 10:28:00,0.371,0.115263
2013-01-09 08:47:00,0.349,0.091659
2013-01-14 09:07:00,0.33,0.081972
2013-01-23 06:48:00,0.297,0.063648
2013-01-29 14:39:00,0.269,0.048016
2013-02-12 08:47:00,0.27,0.049392
2013-02-27 11:19:00,0.23,0.033181
2013-03-06 08:52:00,0.228,0.030551
2013-03-13 07:27:00,0.235,0.040698
2013-05-08 20:00:00,1.367,12.025
2013-05-08 21:35:00,1.301,10.253
2013-05-08 22:34:00,1.258,9.044
2013-05-09 12:46:00,1.527,17.688
2013-05-09 13:03:00,1.611,21.442
2013-05-09 13:47:00,1.799,31.277
