datetime,stage,q,q_sigma
2021-05-19 10:11:07 [UTC-07:00],4.35,635.261,25.47526255
2021-04-29 11:39:11 [UTC-07:00],2.83,112.404,7.225971429
2021-04-29 10:32:36 [UTC-07:00],2.84,109.958,6.619920408
2021-03-22 10:41:00 [UTC-07:00],2.26,33.1727,1.929432551
2021-02-08 11:07:30 [UTC-07:00],2.33,39.5452,2.663248163
2020-12-30 12:23:30 [UTC-07:00],2.27,32.1772,2.889381224
2020-11-13 09:15:00 [UTC-07:00],2.25,29.5635,2.292679592
2020-09-29 10:29:00 [UTC-07:00],2.28,32.2976,1.944447347
2020-07-07 07:44:00 [UTC-07:00],2.67,78.6608,5.698894694
2020-06-25 07:34:30 [UTC-07:00],3.18,192.6761,7.274505816
2020-06-09 07:01:16 [UTC-07:00],4.41,640.477,19.99856755
2020-05-13 07:55:07 [UTC-07:00],5.23,1175.085,26.7991324
2020-04-17 07:15:30 [UTC-07:00],2.53,62.2068,3.554674286
2020-03-09 11:30:29 [UTC-07:00],2.51,51.795,4.77782449
2020-01-30 12:25:55 [UTC-07:00],2.43,37.189,5.654245918
2019-12-17 12:08:26 [UTC-07:00],2.39,33.57,4.179122449
2019-11-14 12:06:56 [UTC-07:00],2.49,55.283,4.625720408
2019-10-07 11:32:00 [UTC-07:00],2.66,86.5999,5.213667449
2017-06-05 08:15:16 [UTC-07:00],6.24,2146.532,47.85890224
2008-05-20 08:24:00 [UTC-07:00],6.35,2440,62.24489796
1993-05-22 05:15:00 [UTC-07:00],6.36,2540,129.5918367
1986-06-06 23:00:00 [UTC-07:00],9.4,6040,462.244898
