stage,q
1.447,20.4
1.45,20.2
1.455,21.8
1.475,23.1
1.5,22.1
1.525,24.7
1.53,25
1.565,26.4
1.565,25.5
1.655,33
1.726,35.3
1.789,35.9
1.84,40
1.86,42.1
1.865,43.4
1.887,44.7
1.895,48.7
1.95,51
1.953,50.1
1.98,53
1.995,55.5
2,54.2
2.04,60.7
2.045,61
2.048,57.8
2.07,64.1
2.09,64.1
2.09,62.5
2.097,61.7
2.12,62.3
2.134,68
2.153,64
2.19,75.1
2.22,80
2.32,85.6
2.367,94.9
2.37,91.8
2.4,94
2.41,97
2.485,107
2.5,110
2.54,118
2.54,115
2.618,130
2.635,128
2.66,139
2.685,137
2.705,148
2.707,145
2.797,163
2.841,173
2.9,185
2.98,202
3.15,231
3.56,337
4.08,474
