datetime,stage,q,q_sigma
2021-05-26 09:35:18 [UTC-07:00],8.28,5534.902,110.1332541
2021-04-19 09:48:23 [UTC-07:00],5.66,2268.957,43.98998265
2021-03-01 11:48:01 [UTC-07:00],5.43,2048.322,37.62224082
2020-11-16 09:29:49 [UTC-07:00],5.97,2562.925,52.30459184
2020-10-01 08:04:39 [UTC-07:00],5.75,2411.594,45.52498878
2020-08-24 08:27:30 [UTC-07:00],5.45,2062.588,38.9366102
2020-07-15 07:34:16 [UTC-07:00],5.72,2244.671,40.08341071
2020-06-03 07:28:36 [UTC-07:00],12.91,14199.957,449.1823133
2020-05-28 08:38:09 [UTC-07:00],9.4,7538.191,126.9185219
2020-04-21 08:38:05 [UTC-07:00],5.95,2580.047,47.38861837
2020-03-09 09:05:15 [UTC-07:00],6.28,2861.537,51.098875
2019-06-10 10:20:52 [UTC-07:00],20.95,35805.099,602.8409526
2016-06-09 09:38:00 [UTC-07:00],16.94,23747.047,496.7494526
2015-06-17 09:26:00 [UTC-07:00],17.68,25761.034,197.1507704
2015-06-05 09:22:55 [UTC-07:00],15.51,20611.414,189.2884959
