datetime,stage,q,q_sigma
2020-05-21 14:13:41 [UTC-07:00],7.04,12199.342,199.1729306
2020-04-16 14:55:31 [UTC-07:00],4.43,4921.953,95.42561939
2020-03-04 13:54:10 [UTC-07:00],2.99,2331.665,61.8605
2020-03-04 13:16:51 [UTC-07:00],2.94,2289.22,47.8867449
2020-01-23 11:04:32 [UTC-07:00],2.96,2408.21,99.52296429
2019-12-17 14:48:54 [UTC-07:00],3.09,2533.894,51.71212245
2019-11-14 14:28:01 [UTC-07:00],2.46,1643.082,33.53228571
2019-10-07 12:38:17 [UTC-07:00],2.54,1827.425,45.685625
2019-08-29 08:03:05 [UTC-07:00],2.86,2105.019,38.66361429
2019-07-23 11:43:33 [UTC-07:00],3.53,3173.955,66.39395663
2019-06-10 12:17:17 [UTC-07:00],9.6,20154.349,349.6162582
2019-04-24 17:36:28 [UTC-07:00],5.58,8000.834,159.2002684
2019-03-07 18:33:28 [UTC-07:00],2.21,1409.271,35.231775
2019-02-04 17:35:13 [UTC-07:00],3.17,2561.581,54.89102143
2018-12-06 15:49:05 [UTC-07:00],3.09,2453.631,53.82965969
2018-10-25 12:18:42 [UTC-07:00],2.5,1795.588,35.72853673
2018-09-13 12:47:40 [UTC-07:00],2.65,1882.085,39.37014541
2018-08-09 17:22:36 [UTC-07:00],2.98,2318.337,49.67865
2018-06-27 14:00:29 [UTC-07:00],3.03,2417.105,50.56189031
2018-05-24 14:27:04 [UTC-07:00],6.6,10706.397,240.3476878
2018-04-19 08:24:27 [UTC-07:00],3.92,3795.702,75.52672347
2018-03-15 12:09:50 [UTC-07:00],2.93,2315.117,42.52255714
2018-03-15 11:27:25 [UTC-07:00],2.92,2295.206,42.1568449
2018-01-31 14:57:47 [UTC-07:00],3.72,3448.262,59.8167898
2017-11-13 17:01:47 [UTC-07:00],3.5,2996.979,61.16283673
2017-10-04 17:14:01 [UTC-07:00],3.73,3565.21,72.75938776
2017-08-24 07:06:33 [UTC-07:00],3.12,2587.378,46.20317857
2017-07-18 16:03:54 [UTC-07:00],3.66,3446.044,65.05287143
2017-06-13 08:37:46 [UTC-07:00],8.99,18505.309,557.0475668
2017-05-04 17:46:14 [UTC-07:00],7.03,12173.573,403.7154311
2017-03-24 07:53:49 [UTC-07:00],5.72,8532.444,165.4249347
2017-02-16 08:42:52 [UTC-07:00],3.27,2777.993,55.27639133
2017-01-11 13:07:23 [UTC-07:00],3.01,2416,48.07346939
2016-12-02 10:12:48 [UTC-07:00],2.49,1726.456,37.87633061
2016-10-25 13:23:16 [UTC-07:00],2.44,1676.239,34.20895918
2011-06-09 09:32:15 [UTC-07:00],12.32,29617.364,395.90558
